DOSSIER,N,11,0;DE_JEUX,N,11,0;NOM_AIRE,C,32;TOTAL_JEUX,N,11,0;_1_à_4_ANS,N,11,0;_1_à_5_ANS,N,11,0;_1_à_6_ANS,N,11,0;à_15_ANS,N,11,0;14_ET_PLUS,N,11,0;2_à_10_ANS,N,11,0;2_à_12_ANS,N,11,0;à_15__ANS,N,11,0;_2_à_4_ANS,N,11,0;_2_à_5_ANS,N,11,0;_2_à_6_ANS,N,11,0;_2_à_7_ANS,N,11,0;_2_à_8_ANS,N,11,0;3_à_12_ANS,N,11,0;à_15__AN0,N,11,0;_3_à_6_ANS,N,11,0;_3_à_7_ANS,N,31,15;_3_à_8_ANS,N,31,15;_3_à_9_ANS,N,31,15;4_à_10_ANS,N,31,15;4_à_12_ANS,N,31,15;à_15__AN1,N,31,15;_4_à_6_ANS,N,31,15;_4_à_8_ANS,N,31,15;5_à_12_ANS,N,31,15;_5_à_8_ANS,N,31,15;6_à_12_ANS,N,31,15;6_à_14_ANS,N,31,15;à_15__AN2,N,31,15;7_à_14_ANS,N,31,15;LONGITUDE,N,31,15;LATITUDE,N,31,15
289;48;Square Mas Drevon;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;1;3,869214;43,592114
19;50;Aire du Champ de Mars (Espla);10;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3,881593;43,611111
19;51;Aire du Champ de Mars (Joffre);2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3,882739;43,61087
28;52;Square Planchon;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,879774;43,605784
20;53;Aire des Pastourelles;8;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;3,899728;43,620918
23;54;Jardin de la Pépinière;7;0;0;0;0;0;0;0;0;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,884811;43,595782
31;56;Aire Mail Saint Martin;5;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3,883906;43,593957
141;57;Place de Tibériade;8;0;0;0;0;0;0;0;1;0;0;3;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,878003;43,580993
30;58;Aire Saint Martin (Evéché);4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,884915;43,592024
305;60;Parc du Bois de la Chaumière;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3,929576;43,615376
200;61;Square Jean Monnet;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;3,889402;43,604025
474;66;Place de Marathon;8;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;3,888689;43,607814
52;68;Les Brusses;4;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,859202;43,633587
56;72;Les Clolus 2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3,880109;43,628452
149;77;Aire du Mas de Perrette;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3,839374;43,598014
725;83;Aire de jeux de Costebelle;5;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,902673;43,610336
530;84;Aire de jeux du Mas Méric;6;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3,891411;43,631572
626;92;Aire de jeux de la Carriera;4;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3,817663;43,641353
724;93;Aire Ferdinand de Lesseps;4;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,878612;43,593324
