"DOSSIER,N,31,15","NOM,C,42","NOMCOURT,C,20","CRéaTION,C,10","DOM_PUBLIC,C,10","TOTALE,N,31,15","CATÉGORIE,C,9","VILLE,C,3","XCOORD,N,31,15","YCOORD,N,31,15","ADRESSE,C,59","TRAML1,C,47","BUS,C,36","ACCESSIBIL,C,3","HANDICAPés,C,3","QUARTIER,C,17","LIBPROPRI,C,22"
35,Parc Georges Brassens,Parc Brassens,19911101,19911101,14910,Parc,A15,"3,812892","43,638472",Rue du Comté de Nice,1 - Hauts de Massane - 823 m,15 - Comté de Nice - 121 m,Oui,Oui,La Mosson,Ville de Montpellier
36,Aire de jeux de Louisville,Jeux Louisville,19820101,19820101,4070,Square,B12,"3,814873","43,624569",Avenue de Louisville,1 - Halles de la Paillade - 339 m,15 - Louisville - 90 m,Oui,Oui,La Mosson,Ville de Montpellier
38,Le petit Mail de la Mosson,Petit Mail,19690101,19690101,24671,Square,B12,"3,816309","43,622647",Avenue d'heidelberg,1 - Mosson - 139 m,15 - Trident - 116 m,Oui,Oui,La Mosson,Ville de Montpellier
39,Square Pierre Causse,Sq P Causse,19740101,19740101,2324,Square,E10,"3,834625","43,610359",Rue Pierre Causse,3 - Tonnelles - 676 m,7 - Gustave Eiffel - 197 m,Non,Non,Les Cévennes,Ville de Montpellier
47,Square François Dezeuze,Sq Dezeuze,19600101,19600101,2157,Square,F9,"3,840116","43,608241",Rue F. Dezeuze,3 - Tonnelles - 588 m,7 - Lycée Jules Ferry - 85 m,Oui,Oui,Les Cévennes,Ville de Montpellier
48,Square Boussinesq,Sq Boussinesq,19670101,19670101,770,Square,H10,"3,85835","43,612008",Rue Boussinesq,3 - Astruc - 298 m,6 - Louvain - 153 m,Non,Non,Les Cévennes,Ville de Montpellier
49,Square des Arceaux,Sq des Arceaux,19480101,19480101,697,Square,i10,"3,860921","43,611974",Bd des Arceaux,3 - Les Arceaux - 314 m,6 - Avenue de l'Agriculture - 30 m,Oui,Oui,Centre,Ville de Montpellier
50,Square Figuerolles,Sq Figuerolles,19920301,19920301,2970,Square,i9,"3,86159","43,606091",Faubourg Figuerolles,3 - Les Arceaux - 436 m,11 - Claret - 48 m,Oui,Non,Centre,Ville de Montpellier
52,Square des Brusses,Sq des Brusses,19650101,19650101,3360,Square,H14,"3,859193","43,633592",Rue du Dauphiné,1 - Université des sciences et lettres - 526 m,13 - Gascogne - 109 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
54,Square Hildevert,Sq Hildevert,19840101,19840101,1981,Square,L7,"3,885449","43,59752",Rue Frédéric Fabrèges,3 - Saint Martin - 653 m,16 - Frédéric Fabrèges - 94 m,Oui,Oui,Près d'Arènes,Ville de Montpellier
55,Les Clolus 1,Les Clolus 1,19630101,19630101,481,Square,L14,"3,880417","43,629925",Rue des Alpilles,2 - Aiguelongue - 480 m,5 - Alpilles - 66 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
56,Square des Gélinottes,Les Clolus 2,19640101,19640101,1434,Square,L13,"3,879839","43,628562",Rue des Gélinottes,2 - Aiguelongue - 376 m,5 - Clolus - 101 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
57,Aire de jeux Clos des Orangers,Jeux Clos Orangers,19790101,19790101,1049,Square,H8,"3,853815","43,600366","29 rue de l'Escoutadou, 321 rue du Lavandin accès parking",3 - Astruc - 1110 m,11 - Cité Valette - 198 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
62,Parc Enclava del lop,Parc Enclava del lop,19890101,19890101,2068,Square,G8,"3,846976","43,600751",Route de Laverune,3 - Jules Guesde - 1169 m,6 - Pas du Loup - 120 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
64,Parc des Sylvains,Parc des Sylvains,19830101,19830101,3393,Square,J6,"3,868212","43,590841",Ave Villeneuve d'Angoulême,2 - Croix d'Argent - 226 m,10 - Les Pins - 417 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
65,Parc des Aiguerelles,Parc Aiguerelles,01/01/1850,19880101,2376,Square,M7,"3,891126","43,598426","603, Avenue du pont Trinquat",1 - Moularès - 426 m,15 - Collège des Aiguerelles - 62 m,Oui,Oui,Près d'Arènes,Ville de Montpellier
66,Mare écologique,Mare écologique,01/01/1550,19790101,10032,Bois,R11,"3,924472","43,616157",Grammont,1 - Odysseum - 1417 m,9 - Grammont - 548 m,Non,Non,Port Marianne,Ville de Montpellier
67,Parc Magnol,Parc Magnol,01/01/1850,19870901,3527,Square,i11,"3,863218","43,617316",Rue de las Sorbes,1 - Stade Philippides - 544 m,16 - Collège Camille Claudel - 133 m,Oui,Oui,Centre,Ville de Montpellier
69,Parc Azéma,Parc Azéma,01/01/1850,19880101,6619,Square,D11,"3,828678","43,616023",Rue des communautés,3 - Celleneuve - 228 m,15 - Favre de Saint-Castor - 142 m,Oui,Oui,La Mosson,Ville de Montpellier
72,Prairies Grammont,Prairies Grammont,19780101,19780101,27140,Parc,S11,"3,92686","43,616328",Avenue Albert Einstein,1 - Odysseum - 1483 m,9 - Grammont - 390 m,Oui,Oui,Port Marianne,Ville de Montpellier
74,Square des Terres Blanches,Sq Terres Blanches,19630101,19630101,2015,Square,F13,"3,844682","43,625207",Rue Joseph Roumanille,3 - Hôtel du Département - 894 m,16 - Sainte-Geneviève - 225 m,Oui,Non,Les Cévennes,Ville de Montpellier
76,Square Jean Baumel,Sq Baumel,19880901,19880901,285,Square,H16,"3,858357","43,64037",Plan des 4 Seigneurs,1 - Occitanie - 1021 m,13 - Plan des 4 Seigneurs - 66 m,Oui,Oui,Hôpitaux-Facultés,Ville de Montpellier
78,Berges Mosson (sud),Berges Mosson S,18991231,19760101,79280,Berges,B12,"3,813361","43,620187",Ave d'Heildelberg,1 - Mosson - 357 m,15 - Mosson - 272 m,Oui,Oui,La Mosson,Ville de Montpellier
79,Jardin de la Canourgue,Jardin Canourgue,01/01/1650,01/01/1650,2441,Square,K10,"3,874458","43,611698",rue Sainte Croix,1 - Louis Blanc - 446 m,6 - Peyrou - 195 m,Oui,Oui,Centre,Ville de Montpellier
83,Promenade du Peyrou,Promenade Peyrou,01/01/1774,01/01/1774,45350,Parc,J10,"3,869672","43,611213","Rue François Franque, rue de la Blottière, r Hilaire Ricard",3 - Plan Cabanes - 328 m,6 - Pitot - 105 m,Oui,Oui,Centre,Ville de Montpellier
84,Aire de jeux Villeneuve d'Angoulême,Jeux Villeneuve Ango,19580101,19580101,2897,Square,J7,"3,869017","43,596745",Rue Villeneuve d'Angoulême,2 - Mas Drevon - 159 m,6 - Guillaume Janvier - 376 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
89,Les Clolus 3,Les Clolus 3,19650101,19650101,1716,Square,K14,"3,87633","43,629558",Rue Cyrano de Bergerac,2 - Aiguelongue - 655 m,5 - Alpilles - 240 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
95,Square des Près d'Arènes,Sq Près d'Arènes,19870101,19870101,1033,Square,M6,"3,889898","43,590884",Ave de Palavas,3 - Garcia Lorca - 206 m,16 - Garcia Lorca - 72 m,Oui,Oui,Près d'Arènes,Ville de Montpellier
115,Parc de la Croix d'Argent,Parc Croix d'Argent,19890101,19890101,5130,Square,i5,"3,863873","43,587137",Ave Villeneuve d'Angoulême,2 - Villeneuve d'Angoulême - 242 m,10 - Mas de Bagnères - 413 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
143,Grand Mail,Grand Mail,19600101,19600101,13080,Square,B12,"3,816554","43,624711",Grand Mail,1 - Halles de la Paillade - 266 m,15 - Louisville - 93 m,Oui,Oui,La Mosson,Ville de Montpellier
