"DOSSIER,N,31,15","NOM,C,42","NOMCOURT,C,20","CRéaTION,C,10","DOM_PUBLIC,C,10","TOTALE,N,31,15","CATÉGORIE,C,9","VILLE,C,3","XCOORD,N,31,15","YCOORD,N,31,15","ADRESSE,C,59","TRAML1,C,47","BUS,C,36","ACCESSIBIL,C,3","HANDICAPés,C,3","QUARTIER,C,17","LIBPROPRI,C,22"
629,Parc zoologique de Lunaret,Parc Lunaret,19630101,19630101,711000,Bois,K16,"3,875434","43,642334",50 Avenue val d'Agropolis,1 - Université des sciences et lettres - 1836 m,13 - Zoo - 316 m,Oui,Oui,Hôpitaux-Facultés,Ville de Montpellier
630,Jardin des plantes,Jardin des plantes,01/01/1593,01/01/1593,46790,Parc,,"3,871952","43,614346",Boulevard Henri IV,,,Non,Non,Centre,Autre entité publique
635,Square Albert Camus,Sq Camus,19911215,19911215,4792,Square,J7,"3,869822","43,596661",Avenue Villeneuve d'Angoulême,2 - Mas Drevon - 202 m,6 - Place du 8 Mai - 415 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
636,Allée Bonafos,Allée Bonafos,19911215,19911215,2501,Square,J7,"3,87077","43,597466",Avenue Villeneuve d'Angoulême,2 - Mas Drevon - 319 m,6 - Place du 8 Mai - 410 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
637,Placette Le Moulin,Placette Le Moulin,19920305,19920305,1113,Square,N10,"3,896096","43,6103",Rue du Moulin de Semalen,2 - Pompignane - 237 m,9 - Paul Painlevé - 210 m,Oui,Oui,Centre,Ville de Montpellier
644,Quai Louis Le Vau (place ANPE),Quai Le Vau,19910301,19910301,320,Square,C10,"3,822887","43,614464","Quai Louis Le Vau, ZAC de la Fontaine",1 et 3 - Mosson - 257 m,15 - Route de Lodève - 109 m,Oui,Oui,La Mosson,Ville de Montpellier
650,Square de l'Intendance du Languedoc,Sq Intendance,20040501,20040501,420,Square,K10,"3,875964","43,612308",entre le 6 et le 8 rue d'Aigrefeuille,1 - Louis Blanc - 319 m,6 - Peyrou - 327 m,Oui,Oui,Centre,Ville de Montpellier
659,Parc Richter,Parc Richter,19940915,19940915,20350,Parc,N8,"3,896685","43,601835",Rond-point C. Colomb,1 - Moularès - 166 m,9 - Saint-Michel - 510 m,Oui,Oui,Port Marianne,Ville de Montpellier
666,Espaces verts Rabelais,EV Rabelais,19930401,19930401,1752,Square,M9,"3,89016","43,605882",rue de Montréal/ place Acadie / rue Cavelier de la Salle,2 - Voltaire - 246 m,9 - Place de l'Europe - 373 m,Oui,Oui,Centre,Ville de Montpellier
668,Abords tennis Montpellier-Village,Tennis Montp-village,19930101,19930101,6156,Square,E7,"3,838377","43,597282",route de Laverune,3 - Jules Guesde - 1710 m,10 - Paul Fajon - 228 m,Non,Non,Les Cévennes,Ville de Montpellier
676,Parc de la grande Lironde,Parc Grande Lironde,01/01/1850,19950101,44660,Parc,P9,"3,907254","43,608162",Ave Albert Einstein,1 - Millénaire - 581 m,10 - Parc Lironde - 73 m,Oui,Oui,Port Marianne,Ville de Montpellier
679,Esplanade Pierre Paraf,Esplanade Paraf,19930501,19930501,5529,Square,G6,"3,845951","43,595247",Avenue Maurice Planès,2 - Croix d'Argent - 1684 m,10 - Bagatelle - 138 m,Oui,Non,Croix d'Argent,Ville de Montpellier
684,Plan Cavaillé Coll,Plan Cavaillé Coll,19940101,19940101,330,Square,K10,"3,878492","43,613524",rue de la verrerie basse,1 - Louis Blanc - 137 m,6 - Peyrou - 564 m,Oui,Oui,Centre,Ville de Montpellier
693,Place de Sparte,Place de Sparte,19930201,19930201,952,Square,M9,"3,889407","43,608524",Rue Léon Blum,1 - Léon Blum - 129 m,14 - Léon Blum - 133 m,Oui,Oui,Centre,Ville de Montpellier
709,Square Joseph Delteil,Sq Delteil,19941015,19941015,3014,Square,E11,"3,83854","43,616111",Rue des araucarias / rue du Lyciet,3 - Pergola - 172 m,6 - Paul Bringuier - 163 m,Oui,Oui,Les Cévennes,Ville de Montpellier
724,Square Ferdinand de Lesseps,Sq de Lesseps,19950215,19950215,725,Square,K6,"3,878603","43,59333",rue Ferdinand de Lesseps,3 - Saint Martin - 77 m,15 - Saint-Cléophas - 262 m,Oui,Non,Près d'Arènes,Ville de Montpellier
725,Parc du Mas de Costebelle,Parc Costebelle,01/01/1750,19940503,2115,Square,O10,"3,901878","43,610562",rue des frères Lumière/ rue Henri Pequet,2 - Pompignane - 599 m,9 - Vieille Poste - 126 m,Oui,Non,Port Marianne,Ville de Montpellier
749,Square d' Ajaccio et extension,Sq d' Ajaccio,19940603,19940603,13180,Parc,A15,"3,812045","43,636634","rues Comté de Nice, de Corse et d'Ajaccio",1 - Hauts de Massane - 842 m,15 - Mas de Bellevue - 47 m,Oui,Non,La Mosson,Ville de Montpellier
756,Square d'Arsonval,Sq d'Arsonval,19940915,19940915,1886,Square,i6,"3,864194","43,594786",193 rue Georges Brassens,2 - Mas Drevon - 312 m,6 - Georges Brassens - 173 m,Oui,Non,Croix d'Argent,Ville de Montpellier
761,Berges du Rieutord,Berges Rieutord,19941011,19941011,15090,Berges,C12,"3,819244","43,62159",Avenue de l'Europe,1 - Mosson - 152 m,15 - Mosson - 238 m,Non,Non,La Mosson,Ville de Montpellier
773,Maison du Lez,Maison du Lez,19950401,19950401,3257,Berges,N10,"3,896768","43,610076",Avenue du Pirée,2 - Pompignane - 284 m,9 - Paul Painlevé - 161 m,Oui,Oui,Centre,Ville de Montpellier
774,Square du chai Molière,Sq chai Molière,19950517,19950517,381,Square,H6,"3,854947","43,591956",rue des hibiscus,2 - Croix d'Argent - 931 m,10 - Le Grand M - 105 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
778,Square G.S. Blaise Pascal,Sq Pascal,19960616,19960616,325,Square,P10,"3,908153","43,611967",Rue Louis Lépine,1 - Millénaire - 970 m,10 - Lagoya - 178 m,Oui,Oui,Port Marianne,Ville de Montpellier
782,Domaine de la Pompignane,Domaine Pompignane,19960801,19950801,11260,Parc,P12,"3,907373","43,620402",Rue du Salaison,2 - Charles de Gaulle - 1201 m,10 - La Pompignane / Sémard - 264 m,Oui,Non,Port Marianne,Ville de Montpellier
783,Square Camille Ernst (ex J-S Bach),Square Jean-Sébastie,01/07/1870,19850701,1397,Square,K11,"3,878576","43,618551",Avenue de Castelnau,1 - Place Albert Premier - 428 m,5 - Marie Caizergues - 339 m,Oui,Non,Centre,Ville de Montpellier
788,Aqueduc Saint-Clément park Clémentville,Aqueduc St-Clément 1,19960615,19960615,4854,Berges,G11,"3,849322","43,615519","461 rue de la croix de las Cazes, 1000 rue de las Sorbes",3 - Jules Guesde - 500 m,6 - Espérance - 134 m,Non,Non,Les Cévennes,Ville de Montpellier
792,Parc du Mas Vanneau,Parc Mas Vanneau,01/01/1750,19960615,905,Square,F12,"3,843194","43,623748",Avenue du prof. Louis Ravaz,3 - Hôtel du Département - 723 m,16 - Sainte-Geneviève - 101 m,Oui,Non,Les Cévennes,Ville de Montpellier
794,Jardin des Amandiers,Jardin des Amandiers,19970315,19970315,1782,Square,D9,"3,831971","43,607234",Rue des bouisses,3 - Tonnelles - 1056 m,7 - Gustave Eiffel - 218 m,Oui,Non,Les Cévennes,Ville de Montpellier
821,Couverture ruisseau des  Aiguerelles,Ruisseau Aiguerelles,19750101,19750101,1569,Berges,M8,"3,887307","43,602173",Boulevard d'Orient,2 - Voltaire - 269 m,15 - Soleiado - 180 m,Non,Non,Près d'Arènes,Ville de Montpellier
823,Aqueduc St-Clément r  M. Teule-av Rimbaud,Aqueduc St-Clément 2,19970401,19970401,4894,Berges,F12,"3,841382","43,620605",Allée de l'Aqueduc,3 - Pergola - 386 m,16 - Sainte-Geneviève - 366 m,Oui,Oui,Les Cévennes,Ville de Montpellier
831,Réserve Naturelle  du Lez,Réserve Naturelle,19600101,19600101,194300,Berges,M16,"3,887968","43,642826",50 Avenue val d'Agropolis,2 - Charles de Gaulle - 1745 m,5 - Aiguelongue / Jussieu - 618 m,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
836,Parc Georges Clemenceau,Parc Clemenceau,19500101,19500101,10500,Square,J8,"3,871904","43,603957",22 Avenue Georges Clemenceau,3 - Saint Denis - 241 m,6 - Lycée Georges Clemenceau - 102 m,Oui,Oui,Centre,Ville de Montpellier
838,Bassin d'orage Alco,Bassin d'Alco,19971020,19990101,2980,Berges,F12,"3,84241","43,624154",Avenue Louis Ravaz,3 - Hôtel du Département - 682 m,16 - Sainte-Geneviève - 185 m,Non,Non,Les Cévennes,Ville de Montpellier
842,Square des Cétoines,Sq Cétoines,19980224,19980224,1478,Square,K13,"3,873836","43,628163",Rue des Cétoines,1 - Saint-Eloi - 676 m,10 - Major Flandre - 146 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
844,Bassin Jacques Coeur,Bassin J Coeur,19981201,19981201,33670,Berges,O8,"3,900093","43,600044",Avenue de la mer,1 et 3 - Port-Marianne - 182 m,8 - La Rauze - 592 m,Oui,Oui,Port Marianne,Ville de Montpellier
849,Parc Malbosc,Parc Malbosc,19990101,19990101,281647,Parc,D14,"3,829475","43,630595",Rue de,1 - Malbosc - 587 m,6 - Les Hirondelles (dépôt) - 332 m,Oui,Non,La Mosson,Ville de Montpellier
853,Square André Gabriel Vedel,Sq Vedel,19980706,19980706,532,Square,Q11,"3,913285","43,615627",Rue Hippolyte Fizeau,1 - Place de France - 1328 m,9 - Louis Lépine - 130 m,Oui,Oui,Port Marianne,Ville de Montpellier
857,Parc Mas de Neuville,Parc Mas Neuville,19981125,19981125,8251,Square,F13,"3,841274","43,626373",Avenue du château d'Ô,3 - Hôtel du Département - 736 m,16 - Alco - 123 m,Oui,Oui,Les Cévennes,Ville de Montpellier
860,Square Adamantios Korais,Sq Korais,19990226,19990226,2295,Square,M9,"3,887021","43,60754",Allée du nouveau monde,1 - Antigone - 134 m,14 - Léon Blum - 338 m,Oui,Non,Centre,Ville de Montpellier
865,Ruisseau Rieucoulon,Rieucoulon,19981231,19981231,1077,Berges,D8,"3,831248","43,604169",Rue Brillat-Savarin,3 - Tonnelles - 1333 m,7 - Ormeaux - 200 m,Non,Non,Les Cévennes,Ville de Montpellier
873,Parc Edouard André,Parc E  André,19990818,20000501,8000,Square,C10,"3,823083","43,613456",rue André Le Nôtre,3 - Celleneuve - 340 m,15 - La Fontaine - 187 m,Oui,Oui,La Mosson,Ville de Montpellier
875,Jardin de la résidence le grand parc,Rés Grand Parc,19800101,19800101,3577,Square,,"3,835012","43,621129",Ave des moulins,,,Non,Non,Les Cévennes,Privé ouvert au public
877,Les jardins d'Alco,Les jardins d'Alco,19800101,19800101,38220,Parc,,"3,839197","43,62345",,,,Non,Non,Les Cévennes,Autre entité publique
882,Boisement du Château d'O,Bois Château d'O,19991201,19991201,21710,Bois,E14,"3,838546","43,631347",Route de grabels,1 - Château d'O - 499 m,16 - Château d'O - 327 m,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
891,Square du Soleil Levant,Sq Soleil Levant,20000522,20000522,3386,Square,A16,"3,812914","43,640568",Ave du Comté de Nice,1 - Hauts de Massane - 954 m,15 - Corse - 128 m,Oui,Non,La Mosson,Ville de Montpellier
892,Square bd Paul Valéry,Sq bd Valéry,20000613,20000613,1200,Square,G7,"3,849923","43,595719",Bd P Valéry,2 - Croix d'Argent - 1385 m,6 - Véga - 23 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
894,Aire de jeux Rosa Parks,Pl R Parks,20000620,20000620,67,Square,L13,"3,880913","43,628059",rue de Montasinos,2 - Aiguelongue - 282 m,5 - Clolus - 56 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
896,Jardin de la Reine,Jardin de la Reine,19010101,19010101,4401,Bois,J10,"3,870261","43,613423",rue du jardin de la Reine,1 - Place Albert Premier - 462 m,7 - Saint-Jaumes - 51 m,Non,Non,Centre,Autre entité publique
914,Parc du château d'Ô,Parc du château d'Ô,01/01/1850,19850101,78860,Parc,,"3,839679","43,63281",Avenue des Moulins,,,Oui,Oui,Hôpitaux-Facultés,Autre entité publique
942,Château de Flaugergues,Chât Flaugergues,19200101,19200101,420000,Parc,,"3,919395","43,610179",Avenue Albert Einstein,,,Oui,Non,Port Marianne,Privé ouvert au public
945,Esplanade Gabriel Michel,Esplanade Michel,20020101,20020101,7960,Square,P10,"3,908617","43,613841","842, rue de la vieille poste",2 - Pompignane - 1130 m,9 - Pinville - 202 m,Oui,Oui,Port Marianne,Ville de Montpellier
950,Square Louis Boffet,Sq Boffet,20011126,20011126,840,Square,K10,"3,874881","43,613681",rue Lallemand,1 - Louis Blanc - 285 m,6 - Peyrou - 334 m,Oui,Oui,Centre,Ville de Montpellier
965,Parc Dioscoride,Parc Dioscoride,20030215,20030301,6860,Parc,D10,"3,831804","43,613149",Esplanade de Celleneuve - Allée de Paris,3 - Celleneuve - 565 m,15 - Marie Curie - 194 m,Oui,Oui,La Mosson,Ville de Montpellier
967,Parc Emmanuel Roblès,Parc Roblès,19540301,20040301,3443,Square,K9,"3,878754","43,605965",13 Rue de la République,3 - Observatoire - 112 m,16 - Gare Saint-Roch - 59 m,Oui,Oui,Centre,Ville de Montpellier
969,Transparence Lez-Lironde,Transp Lez-Lironde,20030301,20030301,74500,Berges,P7,"3,907759","43,59629","Route de Boirargues, avenue de la mer",3 - Pablo Picasso - 440 m,10 - Millénaire - 712 m,Non,Non,Port Marianne,Ville de Montpellier
971,Parc Bartolomé de Las Casas,Parc de Las Casas,20030507,20030507,4367,Parc,F11,"3,844979","43,616982",Avenue Saint-Clément,3 - Pergola - 412 m,6 - Saint-Clément - 87 m,Oui,Oui,Les Cévennes,Ville de Montpellier
972,Bassin de rétention de la Mogère,Bassin Mogère,20030527,20030527,37860,Berges,R8,"3,923914","43,601402",route de Vauguière,1 - Odysseum - 384 m,9 - Place de Lisbonne - 505 m,Non,Non,Port Marianne,Ville de Montpellier
988,Jardins Familaux de Malbosc,J Familiaux Malbosc,20040901,20040901,16630,Jard Fam,D13,"3,827986","43,629033",,1 - Saint-Paul - 621 m,6 - Les Hirondelles (dépôt) - 219 m,Non,Non,La Mosson,Ville de Montpellier
995,Jardins de la Lironde,Jardins la Lironde,20060426,20070427,20570,Parc,P9,"3,909887","43,607349","324, Rue du Mas de Carbonnier",1 - Millénaire - 434 m,9 - Samuel Morse - 281 m,Oui,Oui,Port Marianne,Ville de Montpellier
997,Parc du Mas de Nouguier,Parc Mas Nouguier,20070401,20070401,208300,Parc,H4,"3,852835","43,581873",Chemin des comportes,2 - Les Grisettes - 486 m,10 - Sabines - 631 m,Oui,Non,Croix d'Argent,Ville de Montpellier
1007,Berges du Lez - Domaine de Lavalette,Lez - Lavalette,20050408,20050408,68860,Berges,K17,"3,873769","43,648107",avenue Agropolis,1 - Université des sciences et lettres - 2322 m,13 - Agropolis - 450 m,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
1010,Aire de jeux des Papyrus,Jeux Papyrus,20051001,20051001,1133,Square,G12,"3,850352","43,620735",Rue des papyrus,3 - Pergola - 924 m,16 - Las Rebes - 87 m,Oui,Oui,Les Cévennes,Ville de Montpellier
1011,Aqueduc St-Clément - section Malbosc,Aqueduc St-Clément 3,20051007,20051007,3892,Berges,E14,"3,839159","43,630566",Entre Zac Malbosc et Avenue des Moulins,1 - Château d'O - 520 m,7 - Château d'O - 307 m,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
1025,Parc de Font Colombe (Château Bon),Parc Font Colombe,20060101,20060101,52740,Parc,D7,"3,830354","43,597855",Rue de Château Bon,3 - Tonnelles - 1955 m,10 - Les Bouisses - 408 m,Oui,Non,Les Cévennes,Ville de Montpellier
1029,Jardins Familiaux Les Grands Grès,J Familiaux Gds Grès,20060222,20060222,14590,Jard Fam,T10,"3,936522","43,609429","Rue de la Plauchude, 3132 ave Albert Einstein",1 - Odysseum - 1435 m,9 - Albert Einstein - 425 m,Non,Non,Port Marianne,Ville de Montpellier
1030,Berges du Lez - Pain levé,Lez - Pain levé,20060101,20060101,2638,Berges,N10,"3,897659","43,610304",Passerelle du Moulin de l'Evêque,2 - Pompignane - 314 m,9 - Paul Painlevé - 86 m,Non,Non,Port Marianne,Ville de Montpellier
1032,Aire de jeux rue Vien,Jeux rue Vien,20060815,20060815,36,Square,K9,"3,873973","43,609282",5 rue Vien,3 - Saint Denis - 382 m,6 - Saint-Guilhem - 103 m,Oui,Non,Centre,Ville de Montpellier
1034,Square Angelo Bramante (ZAC Malbosc),Sq Bramante,20060901,20060901,1415,Square,E14,"3,835841","43,631277",Rue Semiramis,1 - Malbosc - 530 m,16 - Château d'O - 541 m,Oui,Oui,Hôpitaux-Facultés,Ville de Montpellier
1037,Bassin de rétention Malbosc,Bassin Malbosc,20060816,20060816,6227,Berges,E14,"3,834732","43,633459",Rue E. Hemingway,1 - Malbosc - 278 m,16 - Appel du 18 Juin - 458 m,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
1038,Parc Saint-Fiacre (ZAC Malbosc),Parc St-Fiacre,20060816,20060816,14600,Parc,D14,"3,832323","43,633079",Rue Aglaë Adamson,1 - Malbosc - 256 m,16 - Appel du 18 Juin - 383 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
1056,Square Théophraste Renaudot,Sq Renaudot,20080627,20080627,467,Square,K11,"3,875765","43,614981",12 bd Pasteur,1 - Louis Blanc - 194 m,7 - Saint-Jaumes - 440 m,Oui,Non,Centre,Ville de Montpellier
1069,Parc du Belvédère,Parc du Belvédère,20080318,20080318,9746,Parc,G5,"3,846323","43,589936",rue de Bugarel,2 - Sabines - 1316 m,10 - Cheng-Du - 416 m,Oui,Oui,Croix d'Argent,Ville de Montpellier
1076,Berges du Rieucoulon,Berges Rieucoulon,20080416,20080416,21630,Berges,E6,"3,836829","43,594775",Rue Rouget de Lisle,3 - Jules Guesde - 2015 m,10 - Paul Fajon - 74 m,Non,Non,Croix d'Argent,Ville de Montpellier
1105,Square Billie Holiday,Sq B Holiday,20010101,20010101,1249,Square,E15,"3,83538","43,637901",rue Billie Holiday,1 - Malbosc - 362 m,16 - Apothicaires - 393 m,Oui,Oui,Hôpitaux-Facultés,Ville de Montpellier
1106,Square des sculpteurs,Sq Sculpteurs,20010101,20010101,5373,Square,E15,"3,835328","43,63855",,1 - Malbosc - 423 m,16 - Apothicaires - 316 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
1107,Jardin Demain,Jardin Demain,20101009,20101009,938,Square,K6,"3,873474","43,592871",rue d'Ampurias,2 - Lemasson - 87 m,15 - Les Pins - 212 m,Oui,Non,Croix d'Argent,Ville de Montpellier
1111,Aqueduc de la Lyre,Aqueduc Lyre,20101025,20101025,3370,Berges,F16,"3,843107","43,639668",,1 - Château d'O - 612 m,16 - Route de Ganges - 394 m,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
1112,Square du Père Bonnet,Sq Père Bonnet,20110201,20110601,321,Square,J9,"3,86618","43,606855",2 rue du Père Bonnet,3 - Plan Cabanes - 245 m,11 - Renouvier - 48 m,Oui,Non,Centre,Ville de Montpellier
1114,Parc Montcalm,Parc Montcalm,20110101,20110101,117504,Parc,i7,"3,86074","43,597261",Rue des chasseurs,2 - Mas Drevon - 614 m,6 - Georges Brassens - 214 m,Non,Non,Croix d'Argent,Ville de Montpellier
1115,Pont de la Concorde,Pont de la Concorde,20110215,20110215,2384,Berges,N13,"3,894389","43,628308",Rue du pont de Castelnau,2 - Charles de Gaulle - 365 m,10 - Charles de Gaulle - 170 m,Oui,Non,Hôpitaux-Facultés,Ville de Montpellier
1118,Jardins familiaux du Rieucoulon,JF Rieucoulon,20110801,20110801,5060,Jard Fam,E6,"3,837242","43,594709",Rue Rouget de l'Isle,3 - Jules Guesde - 2012 m,10 - Paul Fajon - 69 m,Non,Non,Croix d'Argent,Ville de Montpellier
1119,Parc du Rieucoulon,Parc Rieucoulon,20110401,20110401,36180,Berges,F6,"3,841245","43,590968",Chemin de Bugarel,,,Oui,Oui,Croix d'Argent,Ville de Montpellier
1120,Verger partagé de Malbosc,JP Malbosc,20100301,20100301,2153,Jard Part,D14,"3,830241","43,630596",,,,Oui,Non,La Mosson,Ville de Montpellier
1124,Jardin partagé Clemenceau,JP Clemenceau,20050101,20050101,274,Jard Part,J8,"3,871297","43,604694",Rue Balard,,,Non,Non,Centre,Ville de Montpellier
1125,Jardin partagé de la Cavalerie,JP Cavalerie,20070101,20070101,400,Jard Part,L11,"3,881617","43,617008",Rue de la Cavalerie,,,Non,Non,Centre,Ville de Montpellier
1126,Jardin partagé de Bagatelle,JP Bagatelle,20060101,20060101,240,Jard Part,F6,"3,839816","43,593222",IMP DES NUMIDES,,,Non,Non,Croix d'Argent,Ville de Montpellier
1127,Jardin partagé de Rimbaud,JP Rimbaud,20070101,20070101,230,Jard Part,N11,"3,895659","43,618959",AV SAINT ANDRÉ DE NOVIGENS,,,Non,Non,Centre,Ville de Montpellier
1128,Jardin partagé Saint-Martin,JP Saint-Martin,20060101,20060101,218,Jard Part,L6,"3,882741","43,593355",RUE JEAN VACHET,,,Non,Non,Près d'Arènes,Ville de Montpellier
1129,Jardin partagé La Carriera,JP La Carriera,20060101,20060101,1160,Jard Part,B16,"3,817838","43,640494",AV GUILHEM DE POITIERS,,,Non,Non,La Mosson,Ville de Montpellier
1130,Jardin partagé La Pompignane,JP La Pompignane,20050101,20050101,800,Jard Part,O12,"3,902334","43,62089",RUE LOUISE MICHEL,,,Non,Non,Port Marianne,Ville de Montpellier
1131,Jardin partagé Mélina Mercouri,JP Mélina Mercouri,20060101,20060101,700,Jard Part,P10,"3,908776","43,613703",842 rue de la Vieille Poste,,,Non,Non,Port Marianne,Ville de Montpellier
1132,Jardin partagé du Lemasson,JP du Lemasson,20101001,20101001,427,Jard Part,K6,"3,873373","43,592772",RUE D'AMPURIAS,,,Non,Non,Croix d'Argent,Ville de Montpellier
1133,Jardin partagé La roseraie Sainte-Odile,JP Roseraie,20110401,20110401,260,Jard Part,K12,"3,874181","43,622598",16 Rue Saint-Vincent de Paul,,,Non,Non,Centre,Privé ouvert au public
1134,Jardin partagé Magnol,JP Magnol,20111101,20111101,120,Jard Part,i11,"3,863301","43,617555",Rue de las Sorbes,,,Non,Non,Centre,Ville de Montpellier
1135,Jardin partagé Jupiter,JP Jupiter,20090601,20090601,260,Jard Part,B13,"3,819113","43,624992",Square Jupiter,,,Non,Non,La Mosson,Privé ouvert au public
1137,Aqueduc St Clément (St priest-Croix Lavit),Aqueduc St Clément,20120830,20120830,1137,Berges,F15,"3,841335","43,638153",Rue Ada,,,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
1140,Square Brongniart,Sq Brongniart,20121108,20121201,1919,Square,D14,"3,828339","43,633859",rue Achille Dûchéne,1 - Arrêt Malbosc,,Non,Non,Hôpitaux-Facultés,Ville de Montpellier
1150,Jardin partagé Bashung 2,JP Bashung 2,20131002,20131002,221,Jard Part,L6,"3,883292","43,593168",rue Jean Vachet,,,Non,Non,Près d'Arènes,Ville de Montpellier
1151,Berges Mosson sud,Berges Mosson sud,20131212,20131212,12200,Berges,B8,"3,817142","43,601115",rue de Bionne,,,Non,Non,Les Cévennes,Ville de Montpellier
