"VOI_NUM,N,9,2","ACV_NUM,N,9,2","X,N,13,5","Y,N,14,5","ACC_TBAN,C,3","ACC_TACC,C,3","DATE_,C,12","RIVOLI,C,10","ID_PP,N,10,0"
3555,6564,767100,6282000,NON,OUI,"""18-10-2010""",3555,290
1960,2908,767500,6282000,NON,OUI,"""18-10-2010""",1960,291
1960,2908,767200,6282000,NON,NON,"""18-10-2010""",1960,292
3003,2917,767600,6282000,OUI,OUI,"""18-10-2010""",3003,293
865,2831,767900,6283000,OUI,OUI,"""18-10-2010""",865,294
2554,2921,768000,6283000,NON,OUI,"""18-10-2010""",2554,295
2553,2923,768100,6282000,NON,OUI,"""18-10-2010""",2553,296
865,2928,768200,6282000,NON,NON,"""18-10-2010""",865,297
867,6561,767700,6283000,OUI,OUI,"""18-10-2010""",867,298
1392,2337,"3,82862","43,61457",OUI,OUI,"""30-07-2010""",1392,397
1392,2439,"3,82898","43,6146",OUI,OUI,"""30-07-2010""",1392,398
1392,2398,"3,82759","43,61472",OUI,OUI,"""30-07-2010""",1392,399
1392,2398,"3,82613","43,61494",OUI,OUI,"""30-07-2010""",1392,400
2418,6322,"3,82593","43,61484",OUI,OUI,"""30-07-2010""",2418,401
2418,6322,"3,82591","43,61444",NON,NON,"""30-07-2010""",2418,402
2418,2390,"3,82395","43,61448",OUI,OUI,"""30-07-2010""",2418,403
2417,2388,"3,82387","43,61465",NON,NON,"""30-07-2010""",2417,404
2417,2386,"3,82363","43,61409",OUI,OUI,"""30-07-2010""",2417,405
2417,2386,"3,82394","43,61367",OUI,OUI,"""30-07-2010""",2417,406
2417,2406,"3,82722","43,61261",OUI,OUI,"""30-07-2010""",2417,407
1153,2362,"3,82937","43,61186",NON,NON,"""30-07-2010""",1153,408
2563,11713,"3,83035","43,61462",OUI,NON,"""30-07-2010""",2563,409
1392,2346,"3,83057","43,61477",OUI,OUI,"""30-07-2010""",1392,410
3420,6329,"3,83057","43,61474",OUI,NON,"""30-07-2010""",3420,411
2563,2347,"3,83039","43,61304",OUI,OUI,"""30-07-2010""",2563,412
824,6327,"3,82974","43,6135",OUI,NON,"""30-07-2010""",824,413
903,2343,"3,82978","43,61464",NON,NON,"""30-07-2010""",903,414
1184,2361,"3,82878","43,61148",NON,NON,"""30-07-2010""",1184,415
1380,2360,"3,8288","43,61134",NON,NON,"""30-07-2010""",1380,416
1651,6333,"3,83343","43,61102",OUI,OUI,"""30-07-2010""",1651,417
1431,3630,"3,83438","43,62494",OUI,OUI,"""30-07-2010""",1431,418
1431,3630,"3,83364","43,62516",OUI,OUI,"""30-07-2010""",1431,419
1431,6215,"3,83129","43,63139",NON,OUI,"""30-07-2010""",1431,420
1431,6215,"3,83123","43,63156",OUI,OUI,"""30-07-2010""",1431,421
1431,6215,"3,83111","43,63191",OUI,OUI,"""30-07-2010""",1431,422
1431,6215,"3,83097","43,63225",OUI,OUI,"""30-07-2010""",1431,423
1431,6215,"3,83087","43,63246",NON,OUI,"""30-07-2010""",1431,424
1568,9193,"3,84188","43,63034",NON,NON,"""30-07-2010""",1568,425
3355,6566,"3,84137","43,63116",NON,OUI,"""30-07-2010""",3355,426
3260,6210,"3,83034","43,63515",OUI,OUI,"""30-07-2010""",3260,427
3260,6212,"3,83111","43,63464",OUI,OUI,"""30-07-2010""",3260,428
3266,6519,"3,83048","43,63413",NON,NON,"""30-07-2010""",3266,429
3260,6515,"3,83133","43,63451",NON,OUI,"""30-07-2010""",3260,430
3260,6515,"3,83187","43,63418",OUI,OUI,"""30-07-2010""",3260,431
3260,6217,"3,83254","43,63377",OUI,OUI,"""30-07-2010""",3260,432
3260,6217,"3,83269","43,63368",OUI,OUI,"""30-07-2010""",3260,433
3260,6217,"3,83302","43,63347",OUI,OUI,"""30-07-2010""",3260,434
3260,6217,"3,83321","43,63335",OUI,OUI,"""30-07-2010""",3260,435
3258,6220,"3,83377","43,63199",OUI,OUI,"""30-07-2010""",3258,436
3355,6563,"3,82869","43,6393",OUI,OUI,"""30-07-2010""",3355,437
1960,2791,"3,82878","43,64029",NON,OUI,"""30-07-2010""",1960,438
2191,220,"3,82878","43,64043",OUI,OUI,"""30-07-2010""",2191,439
2191,220,"3,82902","43,64089",OUI,OUI,"""30-07-2010""",2191,440
2191,6405,"3,82911","43,64102",OUI,OUI,"""30-07-2010""",2191,441
2191,6406,"3,82999","43,64208",OUI,OUI,"""30-07-2010""",2191,442
2191,6406,"3,83054","43,64287",OUI,OUI,"""30-07-2010""",2191,443
2191,6406,"3,83094","43,64374",OUI,OUI,"""30-07-2010""",2191,444
650,2789,"3,83554","43,64257",OUI,OUI,"""30-07-2010""",650,445
650,2789,"3,83338","43,64336",NON,NON,"""30-07-2010""",650,446
1960,2907,"3,83083","43,63903",NON,NON,"""30-07-2010""",1960,447
2626,2906,"3,83254","43,63793",NON,NON,"""30-07-2010""",2626,448
