N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;6;Liste ROCHEFORT Robert                            ;30
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;7;Liste MARTY Philippe                              ;5
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;8;Liste PRADALIER Nicole                            ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;9;Liste MELENCHON Jean-Luc                          ;37
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;10;Liste HUSSET Marie Jeanne                         ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;11;Liste MAHUET Eric                                 ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;12;Liste POUTOU Philippe                             ;4
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;13;Liste ROZIÈRE Virginie                            ;60
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;14;Liste BOVÉ José                                   ;117
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;15;Liste ALLIOT-MARIE Michèle                        ;41
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;16;Liste BOUSSION Joseph                             ;20
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;17;Liste LENNE Francis                               ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;18;Liste NÈGRE Anne                                  ;6
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;19;Liste CHAMAGNE Régis                              ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;20;Liste GHAZOUANE Sami                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;21;Liste MARTINEZ Jean-Claude                        ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;22;Liste LESELLIER Pascal                            ;6
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;23;Liste JUY Monique                                 ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;24;Liste CAMUS Renaud                                ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;2;Espace Martin Luther King;2;01;997;377;1;5;371;25;25;Liste GROS Martine                                ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;1;Liste HONDEMA-MOKRANE Faïrouz                     ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;2;Liste TORREMOCHA Sandra                           ;1
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;3;Liste TELLECHEA Jean                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;4;Liste COUROSSE Gaël                               ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;5;Liste ALIOT Louis                                 ;38
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;6;Liste ROCHEFORT Robert                            ;39
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;7;Liste MARTY Philippe                              ;8
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;8;Liste PRADALIER Nicole                            ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;9;Liste MELENCHON Jean-Luc                          ;36
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;10;Liste HUSSET Marie Jeanne                         ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;11;Liste MAHUET Eric                                 ;3
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;12;Liste POUTOU Philippe                             ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;13;Liste ROZIÈRE Virginie                            ;71
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;14;Liste BOVÉ José                                   ;128
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;15;Liste ALLIOT-MARIE Michèle                        ;58
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;16;Liste BOUSSION Joseph                             ;17
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;17;Liste LENNE Francis                               ;4
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;18;Liste NÈGRE Anne                                  ;2
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;19;Liste CHAMAGNE Régis                              ;1
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;20;Liste GHAZOUANE Sami                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;21;Liste MARTINEZ Jean-Claude                        ;4
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;22;Liste LESELLIER Pascal                            ;1
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;23;Liste JUY Monique                                 ;1
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;3;Ecole Maternelle Jean-Jacques Rousseau;2;01;968;422;2;3;417;15;24;Liste CAMUS Renaud                                ;0
