"OBJECTID,N,10,0","IDENT,C,254","NOM,C,254","VLEGALE,N,19,8","REF,C,254","DDEBUT,D","DFIN,D","SENS,C,254","PHJM,N,19,8","PHJS,N,19,8","TJM,N,19,8","COMMENTAIR,C,254","MOIS,N,19,8","ANNEE,N,19,8","TYPECOMPTA,C,50","IDENTSIG,N,19,10"
2220,9999TR9999,Voie non dénommée,50,1600_001_01,08/01/11,14/01/11,Hospice-Diacon,25,8,47,#N/A,1,2011,Magnétique,9999
2095,9999TR,Voie non dénommée,50,219_003_01,18/06/10,24/06/10,Vanières-Lavérune,50,48,456,#N/A,6,2010,Pneumatique,0
2086,9999TR,Voie non dénommée,50,1561_004_01,18/06/10,24/06/10,Hébert-Danton,53,60,481,#N/A,6,2010,Magnétique,0
2087,9999TR,Voie non dénommée,50,1562_005_02,18/06/10,24/06/10,Danton-Hébert,32,33,238,#N/A,6,2010,Magnétique,0
1426,9999TR99999,Voie non dénommée,50,223_001_01,29/03/08,04/04/08,Parking-Causse,92,131,1060,#N/A,3,2008,Pneumatique,99999
1421,9999TR99999,Voie non dénommée,50,210_002_01,29/03/08,04/04/08,Garrats-Liberté,353,417,4134,#N/A,3,2008,Pneumatique,99999
1425,9999TR99999,Voie non dénommée,50,224_001_01,29/03/08,04/04/08,Liberté-Parking,109,129,992,#N/A,3,2008,Pneumatique,99999
1420,9999TR99999,Voie non dénommée,50,204_002_02,29/03/08,04/04/08,Garrats-Liberté,134,179,1814,#N/A,3,2008,Pneumatique,99999
1419,9999TR99999,Voie non dénommée,50,204_002_01,29/03/08,04/04/08,Liberté-Recambale,192,244,1588,#N/A,3,2008,Pneumatique,99999
1418,9999TR99999,Voie non dénommée,50,220_001_02,29/03/08,04/04/08,Recambale-Liberté,204,254,2077,#N/A,3,2008,Pneumatique,99999
1417,9999TR99999,Voie non dénommée,50,220_001_01,29/03/08,04/04/08,Liberté-Garrats,337,318,3920,R.A.S,3,2008,Pneumatique,99999
1416,9999TR99999,Voie non dénommée,50,215_004_01,29/03/08,04/04/08,Dezeuze-Garrats,171,162,1217,#N/A,3,2008,Pneumatique,99999
1415,9999TR99999,Voie non dénommée,50,209_008_01,29/03/08,04/04/08,Liberté-Garrats,225,205,2183,#N/A,3,2008,Pneumatique,99999
1414,9999TR99999,Voie non dénommée,50,225_001_01,29/03/08,04/04/08,Recambale-Liberté,236,217,1658,#N/A,3,2008,Pneumatique,99999
1413,9999TR99999,Voie non dénommée,50,213_004_01,29/03/08,04/04/08,Liberté-Recambale,329,376,3842,#N/A,3,2008,Pneumatique,99999
1427,9999TR99999,Voie non dénommée,50,221_001_01,29/03/08,04/04/08,Parking-Garrats,52,75,458,#N/A,3,2008,Pneumatique,99999
1198,9999TR99999,Voie non dénommée,50,212_002_01,24/01/07,30/01/07,Dubout-Fabreges,68,69,518,#N/A,1,2007,Pneumatique,99999
1199,9999TR99999,Voie non dénommée,50,212_002_02,24/01/07,30/01/07,Fabreges-Dubout,170,134,1261,#N/A,1,2007,Pneumatique,99999
953,9999TR,Voie non dénommée,50,105_002_01,20/01/06,26/01/06,Usine-Carrefour,24,29,80,#N/A,1,2006,Pneumatique,0
757,9999TR,Voie non dénommée,50,1933_003_01,12/10/04,18/10/04,Prefecture-Foch,97,81,707,#N/A,10,2004,Pneumatique,0
756,9999TR,Voie non dénommée,50,1934_002_01,12/10/04,18/10/04,Resistance-Prefecture,234,82,1045,#N/A,10,2004,Pneumatique,0
748,9999TR,Voie non dénommée,50,1933_002_01,21/09/04,27/09/04,Prefecture-Foch,136,91,780,#N/A,9,2004,Pneumatique,0
752,9999TR,Voie non dénommée,50,1560_001_01,21/09/04,27/09/04,Parking-Resistance,83,108,928,#N/A,9,2004,Pneumatique,0
751,9999TR,Voie non dénommée,50,1934_001_01,21/09/04,27/09/04,Resistance-Pietonne,231,98,1134,#N/A,9,2004,Pneumatique,0
749,9999TR,Voie non dénommée,50,845_010_01,21/09/04,27/09/04,Resistance-Pietonne,248,146,1234,#N/A,9,2004,Pneumatique,0
366,9999TR99999,Voie non dénommée,50,LANG.002,16/03/00,22/03/00,Montmorency-Olympie,318,326,3237,#N/A,3,2000,Pneumatique,99999
368,9999TR99999,Voie non dénommée,50,PERT.002,16/03/00,22/03/00,Languedoc-Michelet,258,182,1871,#N/A,3,2000,Pneumatique,99999
367,9999TR99999,Voie non dénommée,50,PARK.002,16/03/00,22/03/00,Parking-Olympie,392,541,4643,#N/A,3,2000,Pneumatique,99999
358,9999TR99999,Voie non dénommée,50,CLAR.032,25/01/00,31/01/00,Claret-Liberte,255,102,1616,#N/A,1,2000,Pneumatique,99999
357,9999TR99999,Voie non dénommée,50,CLAR.022,25/01/00,31/01/00,Liberte-Claret,497,344,4638,#N/A,1,2000,Pneumatique,99999
342,9999TR99999,Voie non dénommée,50,CAUS.004,09/10/99,15/10/99,Garrats-Causse,461,466,4068,#N/A,10,1999,Pneumatique,99999
344,9999TR99999,Voie non dénommée,50,DEZE.002,09/10/99,15/10/99,Rosier-Garrats,414,378,3279,#N/A,10,1999,Pneumatique,99999
343,9999TR99999,Voie non dénommée,50,CAUS.003,09/10/99,15/10/99,Causse-Garrats,299,301,3267,#N/A,10,1999,Pneumatique,99999
345,9999TR99999,Voie non dénommée,50,DEZE.012,09/10/99,15/10/99,Garrats-Liberte,83,144,1084,#N/A,10,1999,Pneumatique,99999
289,9999TR99999,Voie non dénommée,50,BOIR.024,15/01/99,21/01/99,Parking-Marie,156,227,1269,#N/A,1,1999,Pneumatique,99999
300,9999TR99999,Voie non dénommée,50,LODE.012,28/01/99,03/02/99,Celleneuve-Liberte,593,876,8373,#N/A,1,1999,Pneumatique,99999
126,9999TR99999,Voie non dénommée,50,ZENI.071,03/04/97,09/04/97,A9-Zenith,1315,686,9360,#N/A,4,1997,Pneumatique,99999
100,9999TR99999,Voie non dénommée,50,ZENI.021,06/03/97,12/03/97,Zenith-A9,1084,1070,9923,#N/A,3,1997,Pneumatique,99999
103,9999TR99999,Voie non dénommée,50,ZENI.051,06/03/97,12/03/97,Gramont-Mendes,738,398,4258,#N/A,3,1997,Pneumatique,99999
3108,910TR4360,Voie Domitienne,9999,CT30_2013-03-18.xls,18/03/13,24/03/13,Père Soulas-Sabatier,414,350,4324,,3,2013,Regulation,4360
3231,910TR4360,Voie Domitienne,9999,CT30_2013-03-18.xls,18/03/13,24/03/13,Père Soulas-Sabatier,414,350,4324,,3,2013,Regulation,4360
2889,910TR4360,Voie Domitienne,9999,CT30_2012-11-19.xls,19/11/12,25/11/12,Père Soulas-Sabatier,406,338,4403,0,11,2012,Regulation,4360
2828,910TR4360,Voie Domitienne,9999,CT30_2012-03-19.xls,19/03/12,25/03/12,Père Soulas-Sabatier,406,342,4415,0,3,2012,Regulation,4360
2396,910TR4360,Voie Domitienne,50,1600_005_01,12/04/11,18/04/11,Marès-Espeyran,513,471,5968,#N/A,4,2011,Magnétique,4360
2397,910TR4360,Voie Domitienne,50,2021_001_01,12/04/11,18/04/11,Marès-Espeyran,494,470,6050,#N/A,4,2011,Magnétique,4360
2398,910TR4360,Voie Domitienne,50,1589_005_02,12/04/11,18/04/11,Espeyran-Marès,692,432,4592,#N/A,4,2011,Magnétique,4360
2399,910TR4360,Voie Domitienne,50,1562_005_02,12/04/11,18/04/11,Espeyran-Marès,443,564,6654,#N/A,4,2011,Magnétique,4360
2345,910TR4360,Voie Domitienne,9999,CT30_2011-03-21.xls,21/03/11,27/03/11,Père Soulas-Sabatier,389,348,4226,0,3,2011,Regulation,4360
214,910TR4360,Voie Domitienne,50,DOMI.002,18/11/97,24/11/97,Martin-Mares,1067,1289,1148,#N/A,11,1997,Pneumatique,4360
215,910TR4360,Voie Domitienne,50,DOMI.012,18/11/97,24/11/97,Martin-Ventre,212,246,2363,#N/A,11,1997,Pneumatique,4360
3126,3314TR6479,Viaduc Alphonse Loubat,50,2297_008_01,14/05/13,20/05/13,Citadelle_Nîmes,611,940,7421,#N/A,5,2013,Magnétique,6479
2743,3314TR6479,Viaduc Alphonse Loubat,50,2291_005_01,12/10/12,18/10/12,Citadelle-Nîmes,269,321,3704,#N/A,10,2012,Magnétique,6479
2686,3314TR6479,Viaduc Alphonse Loubat,50,2291_002_01,07/09/12,13/09/12,Citadelle-Nîmes,279,442,4269,#N/A,9,2012,Magnétique,6479
2673,3314TR6479,Viaduc Alphonse Loubat,50,2017_012_01,17/08/12,23/08/12,Citadelle-Nîmes,259,433,4422,#N/A,8,2012,Magnétique,6479
1121,3314TR,Viaduc Alphonse Loubat,50,208_007_01,23/09/06,29/09/06,Citadelle-Nimes,486,591,5151,#N/A,9,2006,Pneumatique,0
1040,3314TR,Viaduc Alphonse Loubat,50,203_006_01,10/05/06,16/05/06,Citadelle-Nimes,313,550,4412,#N/A,5,2006,Pneumatique,0
2274,2517TR207,Tunnel du Corum,50,217_001_01,17/02/11,23/02/11,Blanc-11Novembre,226,133,1121,#N/A,2,2011,Pneumatique,207
766,2517TR207,Tunnel du Corum,50,1937_002_01,12/10/04,18/10/04,Blanc-Corum,140,223,1895,#N/A,10,2004,Pneumatique,207
2730,2481TR5401,Tunnel de la Comédie,50,2297_003_01,15/10/12,21/10/12,Hugo-Tunnel,376,373,4632,#N/A,10,2012,Magnétique,5401
2729,2481TR5401,Tunnel de la Comédie,50,2332_003_01,15/10/12,21/10/12,Hugo-Tunnel,369,351,4541,#N/A,10,2012,Magnétique,5401
2728,2481TR5401,Tunnel de la Comédie,50,2327_003_01,15/10/12,21/10/12,Parking-Tunnel,217,196,1504,#N/A,10,2012,Magnétique,5401
2727,2481TR5401,Tunnel de la Comédie,50,2274_003_01,15/10/12,21/10/12,Tunnel-parking,80,157,912,#N/A,10,2012,Magnétique,5401
2731,2481TR5401,Tunnel de la Comédie,50,2335_003_01,15/10/12,21/10/12,Tunnel-michelet,210,249,2240,#N/A,10,2012,Magnétique,5401
2590,2481TR5401,Tunnel de la Comédie,50,1589_004_01,16/03/12,22/03/12,Hugo-Tunnel,209,487,6069,#N/A,3,2012,Magnétique,5401
2593,2481TR5402,Tunnel de la Comédie,50,2025_005_01,16/03/12,22/03/12,Tunnel-Antigone,207,182,2175,#N/A,3,2012,Magnétique,5402
2592,2481TR5402,Tunnel de la Comédie,50,2017_005_01,16/03/12,22/03/12,Tunel-Citadelle,264,309,3595,#N/A,3,2012,Magnétique,5402
2591,2481TR5401,Tunnel de la Comédie,50,1393_004_01,16/03/12,22/03/12,Hugo-Tunnel,497,573,6590,#N/A,3,2012,Magnétique,5401
1701,2481TR5401,Tunnel de la Comédie,50,218_002_01,27/02/09,05/03/09,Tunnel-Parking,118,211,1612,#N/A,2,2009,Pneumatique,5401
1699,2481TR5402,Tunnel de la Comédie,50,217_002_01,27/02/09,05/03/09,Tunnel-Citadelle,1301,1216,16008,#N/A,2,2009,Pneumatique,5402
1702,2481TR5401,Tunnel de la Comédie,50,218_002_02,27/02/09,05/03/09,Parking-Tunnel,175,225,1843,#N/A,2,2009,Pneumatique,5401
971,2481TR5401,Tunnel de la Comédie,50,206_003_01,11/02/06,17/02/06,Tunnel-Parking,183,228,1824,#N/A,2,2006,Pneumatique,5401
972,2481TR5401,Tunnel de la Comédie,50,206_003_02,11/02/06,17/02/06,Parking-Tunnel,180,248,2194,#N/A,2,2006,Pneumatique,5401
2024,2140TR1764,Rue Vivaldi,50,217_005_01,28/04/10,04/05/10,Schubert-Fontcouverte,47,37,334,#N/A,4,2010,Pneumatique,1764
2025,2140TR1764,Rue Vivaldi,50,217_005_02,28/04/10,04/05/10,Fontcouverte-Schubert,6,7,28,#N/A,4,2010,Pneumatique,1764
1844,2720TR2423,Rue Virginie Montagnol,50,202_008_01,19/09/09,25/09/09,Parking-Pilory,18,15,79,#N/A,9,2009,Pneumatique,2423
1843,2720TR2423,Rue Virginie Montagnol,50,219_006_01,19/09/09,25/09/09,Pilory-Parking,25,36,197,#N/A,9,2009,Pneumatique,2423
2354,2524TR17533,Rue Viollet Le Duc,50,1600_004_01,16/03/11,22/03/11,Teste-Eiffel,56,46,280,#N/A,3,2011,Magnétique,17533
2353,2524TR2226,Rue Viollet Le Duc,50,1589_004_02,16/03/11,22/03/11,Eiffel-Teste,37,40,126,#N/A,3,2011,Magnétique,2226
2352,2524TR2226,Rue Viollet Le Duc,50,1579_004_01,16/03/11,22/03/11,Teste-Eiffel,63,41,285,#N/A,3,2011,Magnétique,2226
2355,2524TR17533,Rue Viollet Le Duc,50,1562_004_02,16/03/11,22/03/11,Eiffel-Teste,70,59,277,#N/A,3,2011,Magnétique,17533
1223,2524TR2226,Rue Viollet Le Duc,50,212_005_02,16/03/07,22/03/07,Eiffel-Teste,67,54,255,R.A.S,3,2007,Pneumatique,2226
1222,2524TR2226,Rue Viollet Le Duc,50,212_005_01,16/03/07,22/03/07,Teste-Eiffel,42,45,350,R.A.S,3,2007,Pneumatique,2226
234,2524TR2226,Rue Viollet Le Duc,50,VIOL.002,21/04/98,27/04/98,Teste-Eiffel,64,57,446,#N/A,4,1998,Pneumatique,2226
233,2524TR2226,Rue Viollet Le Duc,50,VIOL.001,21/04/98,27/04/98,Eiffel-Teste,53,47,212,#N/A,4,1998,Pneumatique,2226
1879,2953TR1299,Rue Vendémiaire,30,228_006_01,18/11/09,24/11/09,Colomb-Thermidor,89,144,1047,#N/A,11,2009,Pneumatique,1299
1880,2953TR1300,Rue Vendémiaire,30,201_007_01,01/09/08,24/11/09,Thermidor-Colomb,111,112,833,#N/A,9,2009,Pneumatique,1300
652,2953TR1299,Rue Vendémiaire,50,872_013_01,05/11/03,11/11/03,Colomb-Thermidor,61,109,723,#N/A,11,2003,Pneumatique,1299
653,2953TR1299,Rue Vendémiaire,50,872_013_02,05/11/03,11/11/03,Thermidor-Colomb,136,127,1097,#N/A,11,2003,Pneumatique,1299
2361,2748TR182,Rue Vatel,50,211_005_02,23/03/11,29/03/11,Savarin-Impasse,9,18,68,#N/A,3,2011,Pneumatique,182
2360,2748TR182,Rue Vatel,50,211_005_01,23/03/11,29/03/11,Impasse-Savarin,14,11,76,#N/A,3,2011,Pneumatique,182
38,2096TR3031,Rue Valéry Larbaud,50,LARB.001,13/06/96,19/06/96,Senegonde-Méric,16,17,143,#N/A,6,1996,Pneumatique,3031
1916,2095TR5201,Rue Valedau,50,219_001_02,25/01/10,31/01/10,Collot-Cœur,18,15,102,#N/A,1,2010,Pneumatique,5201
346,3108TR5988,Rue Topaze,50,TOPA.003,25/11/99,01/12/99,Vaniere-Valery,31,29,158,#N/A,11,1999,Pneumatique,5988
347,3108TR5988,Rue Topaze,50,TOPA.004,25/11/99,01/12/99,Valery-Vaniere,80,53,391,#N/A,11,1999,Pneumatique,5988
348,3108TR5988,Rue Topaze,50,TOPA.012,25/11/99,01/12/99,Valery-Vaniere,44,56,298,#N/A,11,1999,Pneumatique,5988
1275,2055TR787,Rue Toiras,50,208_008_01,20/06/07,26/06/07,Raffinerie-Vaissette,141,177,1254,R.A.S,6,2007,Pneumatique,787
1948,2043TR149,Rue Terral,50,212_002_01,08/02/10,14/02/10,Ledru-Huile,20,12,66,#N/A,2,2010,Pneumatique,149
1134,2024TR4608,Rue Subleyras,50,202_011_01,19/10/06,25/10/06,Louis-Marioge,17,24,163,#N/A,10,2006,Pneumatique,4608
1480,2210TR429,Rue Simone Signoret,30,204_005_01,21/06/08,27/06/08,Eglise-Tiberiade,65,94,389,#N/A,6,2008,Pneumatique,429
1481,2210TR429,Rue Simone Signoret,30,204_005_02,21/06/08,27/06/08,Tiberiade-Eglise,30,45,318,#N/A,6,2008,Pneumatique,429
1451,2210TR429,Rue Simone Signoret,30,224_002_02,19/05/08,25/05/08,Tyberiade-Eglise,30,69,306,#N/A,5,2008,Pneumatique,429
1450,2210TR429,Rue Simone Signoret,30,224_002_01,19/05/08,25/05/08,Eglise-Tyberiade,63,78,339,#N/A,5,2008,Pneumatique,429
1897,2209TR424,Rue Simone de Beauvoir,50,204_001_02,06/01/10,12/01/10,Signoret-Sartres,46,174,617,#N/A,1,2010,Pneumatique,424
1896,2209TR424,Rue Simone de Beauvoir,50,204_001_01,06/01/10,12/01/10,Sartres-Signoret,30,30,274,#N/A,1,2010,Pneumatique,424
1499,2209TR424,Rue Simone de Beauvoir,30,224_004_01,21/06/08,27/06/08,Sartre-Pons,103,124,659,#N/A,6,2008,Pneumatique,424
1500,2209TR424,Rue Simone de Beauvoir,30,224_004_02,21/06/08,27/06/08,Pons-Sartre,49,105,448,#N/A,6,2008,Pneumatique,424
1735,2002TR4133,Rue Sébastien Lenormand,50,214_003_01,27/03/09,02/04/09,Grasset-Atgier,9999,9999,9999,Compteur défectueux,3,2009,Pneumatique,4133
3153,1960TR2908,Rue Saint-Priest,50,2326_009_02,04/06/13,10/06/13,Flourens_Carrierasse,228,230,1281,#N/A,6,2013,Magnétique,2908
3152,1960TR2908,Rue Saint-Priest,50,2324_010_01,04/06/13,10/06/13,Carrierasse_Flourens,388,217,1791,#N/A,6,2013,Magnétique,2908
3150,1960TR6246,Rue Saint-Priest,50,2306_010_01,04/06/13,10/06/13,Galera_Carrierasse,461,360,2505,#N/A,6,2013,Magnétique,6246
3151,1960TR6246,Rue Saint-Priest,50,2303_008_02,04/06/13,10/06/13,Carrierasse_Galera,335,319,2265,#N/A,6,2013,Magnétique,6246
2102,1960TR2907,Rue Saint-Priest,50,224_008_01,30/06/10,06/07/10,Moulin-Villa,134,291,1260,#N/A,6,2010,Pneumatique,2907
2103,1960TR2907,Rue Saint-Priest,50,224_008_02,30/06/10,06/07/10,Villa-Moulin,109,75,617,#N/A,6,2010,Pneumatique,2907
2101,1960TR2910,Rue Saint-Priest,50,211_001_02,30/06/10,06/07/10,Villa-Moulin,309,205,1893,#N/A,6,2010,Pneumatique,2910
2100,1960TR2910,Rue Saint-Priest,50,211_001_01,30/06/10,06/07/10,Moulin-Villa,281,250,2215,#N/A,6,2010,Pneumatique,2910
1969,1960TR3448,Rue Saint-Priest,50,201_002_01,16/01/10,22/01/10,Soulas-Moulins,35,62,363,#N/A,1,2010,Pneumatique,3448
1970,1960TR3448,Rue Saint-Priest,50,201_002_02,16/01/10,22/01/10,Moulins-Soulas,146,164,1112,#N/A,1,2010,Pneumatique,3448
1409,1960TR2908,Rue Saint-Priest,50,214_006_01,07/03/08,13/03/08,Puech-Moulins,193,204,1322,#N/A,3,2008,Pneumatique,2908
1410,1960TR2908,Rue Saint-Priest,50,214_006_02,07/03/08,13/03/08,Moulins-Puech,354,237,1900,#N/A,3,2008,Pneumatique,2908
1408,1960TR3449,Rue Saint-Priest,50,208_004_02,07/03/08,13/03/08,Moulins-Puech,413,286,2609,#N/A,3,2008,Pneumatique,3449
1407,1960TR3449,Rue Saint-Priest,50,208_004_01,07/03/08,13/03/08,Puech-Moulins,281,337,2231,#N/A,3,2008,Pneumatique,3449
1406,1960TR3449,Rue Saint-Priest,50,215_002_01,05/03/08,11/03/08,Priest-Moulins,161,195,1534,#N/A,3,2008,Pneumatique,3449
701,1960TR2907,Rue Saint-Priest,50,845_007_02,23/04/04,29/04/04,Villa-Moulins,96,85,565,#N/A,4,2004,Pneumatique,2907
700,1960TR2907,Rue Saint-Priest,50,845_007_01,23/04/04,29/04/04,Moulins-Villa,143,282,1250,#N/A,4,2004,Pneumatique,2907
689,1960TR2910,Rue Saint-Priest,50,845_005_02,17/03/04,23/03/04,Moulins-Villa,230,214,1904,#N/A,3,2004,Pneumatique,2910
690,1960TR2908,Rue Saint-Priest,50,872_004_01,17/03/04,23/03/04,Villa-Moulins,153,150,1153,#N/A,3,2004,Pneumatique,2908
691,1960TR2908,Rue Saint-Priest,50,872_004_02,17/03/04,23/03/04,Moulins-Villa,252,197,1562,#N/A,3,2004,Pneumatique,2908
688,1960TR2910,Rue Saint-Priest,50,845_005_01,17/03/04,23/03/04,Villa-Moulins,287,230,2174,#N/A,3,2004,Pneumatique,2910
361,1960TR3439,Rue Saint-Priest,50,PRIE.001,07/02/00,13/02/00,Moulins-Soulas,54,116,741,#N/A,2,2000,Pneumatique,3439
1762,2660TR3634,Rue Sainte Barbe,50,210_002_02,06/05/09,12/05/09,Bologne-Adanson,161,255,1213,#N/A,5,2009,Pneumatique,3634
1761,2660TR3634,Rue Sainte Barbe,50,210_002_01,06/05/09,12/05/09,Adanson-Bologne,201,168,1174,#N/A,5,2009,Pneumatique,3634
538,2660TR3634,Rue Sainte Barbe,50,864.004.02,26/09/02,02/10/02,Clairiere-Badie,39,37,359,#N/A,9,2002,Pneumatique,3634
537,2660TR3634,Rue Sainte Barbe,50,864.004.01,26/09/02,02/10/02,Badie-Clairiere,39,45,355,#N/A,9,2002,Pneumatique,3634
2251,1967TR4084,Rue Saint Vincent de Paul,50,201_001_01,27/01/11,02/02/11,81emeRI-Mende,804,661,6755,#N/A,1,2011,Pneumatique,4084
2252,1967TR4084,Rue Saint Vincent de Paul,50,201_001_02,27/01/11,02/02/11,Mende-81emeRI,255,337,1784,#N/A,1,2011,Pneumatique,4084
1322,1967TR4085,Rue Saint Vincent de Paul,50,214_012_02,14/11/07,20/11/07,Mende-81 emes,196,264,1455,R.A.S,11,2007,Pneumatique,4085
1321,1967TR4085,Rue Saint Vincent de Paul,50,214_012_01,14/11/07,20/11/07,81emes-Mende,650,557,5290,R.A.S,11,2007,Pneumatique,4085
1047,1967TR4085,Rue Saint Vincent de Paul,50,205_006_01,12/05/06,18/05/06,Epee-Mende,836,802,8111,#N/A,5,2006,Pneumatique,4085
528,1967TR4084,Rue Saint Vincent de Paul,50,1933.004.01,13/06/02,19/06/02,Infanterie-Mende,1136,1078,11332,#N/A,6,2002,Pneumatique,4084
81,1967TR4084,Rue Saint Vincent de Paul,50,PAUL.001,17/10/96,23/10/96,Caizergues-Mende,1181,949,10441,#N/A,10,1996,Pneumatique,4084
2974,1951TR5395,Rue Saint Louis,50,210_001_01,02/02/13,08/02/13,Arceaux_Baumes,480,495,6076,,2,2013,Pneumatique,5395
1135,1951TR5394,Rue Saint Louis,50,209_008_01,13/10/06,19/10/06,Arceaux-Beaulieu,794,772,9839,#N/A,10,2006,Pneumatique,5394
1539,1950TR3972,Rue Saint Léon,50,215_007_01,01/10/08,07/10/08,Abert-Canton,98,78,605,#N/A,10,2008,Pneumatique,3972
1949,1940TR38,Rue Saint Guilhem,50,205_003_01,08/02/10,14/02/10,Paume-Martyrs,10,9,55,#N/A,2,2010,Pneumatique,38
1950,1940TR38,Rue Saint Guilhem,50,205_003_02,08/02/10,14/02/10,Martyrs-Paume,9,17,85,#N/A,2,2010,Pneumatique,38
873,1940TR5360,Rue Saint Guilhem,10,872_015_01,08/10/05,14/10/05,Paume-Castelane,25,22,171,#N/A,10,2005,Pneumatique,5360
874,1940TR5360,Rue Saint Guilhem,10,872_015_02,08/10/05,14/10/05,Castelane-Paume,85,79,748,#N/A,10,2005,Pneumatique,5360
638,1940TR5363,Rue Saint Guilhem,50,864_010_01,10/10/03,16/10/03,Loge-Paume,224,281,2108,#N/A,10,2003,Pneumatique,5363
614,1940TR5373,Rue Saint Guilhem,50,845_008_01,14/06/03,20/06/03,Loge-Paume,255,322,2731,#N/A,6,2003,Pneumatique,5373
2720,1929TR5699,Rue Saint Cléophas,30,2335_002_01,03/10/12,09/10/12,Cambiadoures-Toulouse,392,534,3745,#N/A,10,2012,Magnétique,5699
2443,1929TR5716,Rue Saint Cléophas,50,2025_004_02,24/06/11,30/06/11,Angoulème-Maurin,230,307,2784,#N/A,6,2011,Magnétique,5716
2442,1929TR5716,Rue Saint Cléophas,50,1600_008_01,24/06/11,30/06/11,Maurin-Angoulème,290,316,2411,#N/A,6,2011,Magnétique,5716
2064,1929TR5716,Rue Saint Cléophas,50,217_008_02,24/06/10,30/06/10,Toulouse-Maurin,268,325,3141,#N/A,6,2010,Pneumatique,5716
2063,1929TR5716,Rue Saint Cléophas,50,217_008_01,24/06/10,30/06/10,Maurin-Toulouse,330,381,3082,#N/A,6,2010,Pneumatique,5716
1856,1929TR1703,Rue Saint Cléophas,30,208_006_01,25/09/09,01/10/09,Maurin-Toulouse,461,558,4482,#N/A,9,2009,Pneumatique,1703
1532,1929TR5699,Rue Saint Cléophas,30,202_007_01,04/10/08,10/10/08,Maurin-Toulouse,461,574,4262,#N/A,10,2008,Pneumatique,5699
1534,1929TR5716,Rue Saint Cléophas,50,219_006_02,04/10/08,10/10/08,Toulouse-Maurin,269,355,3007,#N/A,10,2008,Pneumatique,5716
1533,1929TR5716,Rue Saint Cléophas,50,219_006_01,04/10/08,10/10/08,Maurin-Toulouse,387,582,3687,#N/A,10,2008,Pneumatique,5716
335,1929TR5718,Rue Saint Cléophas,50,CLEO.001,09/09/99,15/09/99,Maurin-Angouleme,296,434,2764,#N/A,9,1999,Pneumatique,5718
336,1929TR5718,Rue Saint Cléophas,50,CLEO.011,09/09/99,15/09/99,Angouleme-Maurin,239,349,2671,#N/A,9,1999,Pneumatique,5718
2574,2202TR1902,Rue Rouget de Lisle,50,1475_002_02,03/02/12,09/02/12,Lavérune-Loup,382,347,2108,#N/A,2,2012,Magnétique,1902
2573,2202TR1902,Rue Rouget de Lisle,50,1562_003_01,03/02/12,09/02/12,Loup-Lavérune,230,246,1677,#N/A,2,2012,Magnétique,1902
2083,2202TR1895,Rue Rouget de Lisle,50,214_006_02,23/06/10,29/06/10,Fajon-Loup,221,206,1896,#N/A,6,2010,Pneumatique,1895
2082,2202TR1895,Rue Rouget de Lisle,50,214_006_01,23/06/10,29/06/10,Loup-Fajon,150,251,1984,#N/A,6,2010,Pneumatique,1895
580,2202TR1902,Rue Rouget de Lisle,50,845_003_01,13/03/03,19/03/03,Loup-Fajon,114,140,999,#N/A,3,2003,Pneumatique,1902
581,2202TR1902,Rue Rouget de Lisle,50,845_003_02,13/03/03,19/03/03,Fajon-Loup,162,158,1044,#N/A,3,2003,Pneumatique,1902
209,2202TR1908,Rue Rouget de Lisle,50,ROUG.002,14/11/97,20/11/97,Loup-Fajon,60,84,726,#N/A,11,1997,Pneumatique,1908
208,2202TR1908,Rue Rouget de Lisle,50,ROUG.001,14/11/97,20/11/97,Fajon-Loup,68,61,571,#N/A,11,1997,Pneumatique,1908
1531,1907TR5296,Rue Roucher,50,204_007_02,30/09/08,06/10/08,Flammes-Balances,7,6,39,#N/A,9,2008,Pneumatique,5296
1530,1907TR5296,Rue Roucher,50,204_007_01,30/09/08,06/10/08,Balances-Flammes,36,24,217,#N/A,9,2008,Pneumatique,5296
2022,1905TR1749,Rue Rossini,50,228_005_01,28/04/10,04/05/10,Fontcouverte-Schubert,17,29,166,#N/A,4,2010,Pneumatique,1749
2023,1905TR1749,Rue Rossini,50,228_005_02,28/04/10,04/05/10,Schubert-Fontcouverte,26,21,191,#N/A,4,2010,Pneumatique,1749
2564,1899TR672,Rue Ronsard,30,1473_002_02,01/02/12,07/02/12,Bellay-Figuerolles,254,296,2405,#N/A,2,2012,Magnétique,672
2563,1899TR672,Rue Ronsard,30,1393_002_01,01/02/12,07/02/12,Figuerolles-Bellay,145,224,1606,#N/A,2,2012,Magnétique,672
1817,1899TR681,Rue Ronsard,30,213_007_01,26/06/09,02/07/09,Fontcarrade-Figuerolles,23,30,261,R.A.S,6,2009,Pneumatique,681
1818,1899TR681,Rue Ronsard,30,213_007_02,26/06/09,02/07/09,Figuerolles-Fontcarrade,52,59,534,R.A.S,6,2009,Pneumatique,681
2519,1897TR5679,Rue Rondelet,50,1469_009_01,06/12/11,12/12/11,Denis-Rondelet,342,462,5457,#N/A,12,2011,Magnétique,5679
1138,1897TR853,Rue Rondelet,50,204_012_01,18/10/06,24/10/06,Denis-Rondelet,341,372,4858,#N/A,10,2006,Pneumatique,853
