"OBJECTID,N,10,0","IDENT,C,254","NOM,C,254","VLEGALE,N,19,8","REF,C,254","DDEBUT,D","DFIN,D","SENS,C,254","PHJM,N,19,8","PHJS,N,19,8","TJM,N,19,8","COMMENTAIR,C,254","MOIS,N,19,8","ANNEE,N,19,8","TYPECOMPTA,C,50","IDENTSIG,N,19,10"
450,2184TR3034,Rue des Pommettes,50,MERI.003,17/02/01,23/02/01,Roqueturiere-Ferran,74,133,1037,#N/A,2,2001,Pneumatique,3034
451,2184TR3034,Rue des Pommettes,50,MERI.004,17/02/01,23/02/01,Ferran-Roqueturiere,165,137,1284,#N/A,2,2001,Pneumatique,3034
658,1766TR3590,Rue des Platanes,50,845_013_01,10/12/03,16/12/03,Acacias-Anglade,36,54,238,#N/A,12,2003,Pneumatique,3590
1555,1726TR4479,Rue des Piboules,50,208_013_01,10/10/08,16/10/08,Cerisiers-Amouriers,3,7,25,#N/A,10,2008,Pneumatique,4479
1556,1726TR4479,Rue des Piboules,50,208_013_02,10/10/08,16/10/08,Amouriers-Cerisiers,8,7,36,#N/A,10,2008,Pneumatique,4479
2010,1718TR618,Rue des Pétunias,50,1572_001_02,31/03/10,06/04/10,Figuerolles-Lavérune,100,110,703,#N/A,3,2010,Magnétique,618
2009,1718TR618,Rue des Pétunias,50,1589_001_01,31/03/10,06/04/10,Lavérune-Figuerolles,137,107,679,#N/A,3,2010,Magnétique,618
3010,1702TR6116,Rue des Pertuisanes,30,2297_005_01,13/03/13,19/03/13,Frenay_Spirale,169,162,1264,,3,2013,Magnétique,6116
1270,1702TR6116,Rue des Pertuisanes,50,204_006_01,08/06/07,14/06/07,Frenay-Antigone,192,159,1178,R.A.S,6,2007,Pneumatique,6116
121,1702TR6116,Rue des Pertuisanes,50,PERTU.001,20/03/97,26/03/97,Olympie-Antigone,384,409,3606,#N/A,3,1997,Pneumatique,6116
3012,2330TR2115,Rue des Passiflores,50,216_002_02,13/03/13,19/03/13,Traverses_Grezes,11,15,112,,3,2013,Pneumatique,2115
3011,2330TR2115,Rue des Passiflores,50,216_002_01,13/03/13,19/03/13,Grezes_Traverses,22,16,125,,3,2013,Pneumatique,2115
1371,2370TR1500,Rue des Passerines,30,215_001_01,09/01/08,15/01/08,Maurin-Marquerose,361,439,2456,#N/A,1,2008,Pneumatique,1500
1372,2370TR1500,Rue des Passerines,30,208_001_01,09/01/08,15/01/08,Marquerose-Maurin,175,165,748,#N/A,1,2008,Pneumatique,1500
1333,2370TR1514,Rue des Passerines,50,214_013_01,23/11/07,29/11/07,Maurin-Marquerose,165,401,1965,R.A.S,11,2007,Pneumatique,1514
1334,2370TR1514,Rue des Passerines,50,214_013_02,23/11/07,29/11/07,Marquerose-Maurin,380,291,2555,R.A.S,11,2007,Pneumatique,1514
1664,1658TR3742,Rue des Passereaux,50,228_001_02,17/01/09,23/01/09,Paradisiers-Sports,13,19,95,#N/A,1,2009,Pneumatique,3742
1663,1658TR3742,Rue des Passereaux,50,228_001_01,17/01/09,23/01/09,Sports-Paradisiers,14,16,87,#N/A,1,2009,Pneumatique,3742
1665,1647TR3783,Rue des Paradisiers,50,208_001_01,17/01/09,23/01/09,St Maur-Val Marie,14,22,130,#N/A,1,2009,Pneumatique,3783
1666,1647TR3783,Rue des Paradisiers,50,208_001_02,17/01/09,23/01/09,Val Marie-St Maur,117,78,691,#N/A,1,2009,Pneumatique,3783
1190,1647TR3783,Rue des Paradisiers,50,217_012_01,21/12/06,27/12/06,Maur-Mounie,18,25,143,#N/A,12,2006,Pneumatique,3783
1191,1647TR3783,Rue des Paradisiers,50,217_012_02,21/12/06,27/12/06,Mounie-Maur,119,86,668,#N/A,12,2006,Pneumatique,3783
1073,1647TR3783,Rue des Paradisiers,50,203_007_02,23/05/06,29/05/06,Maur-Mounie,12,38,110,#N/A,5,2006,Pneumatique,3783
1072,1647TR3783,Rue des Paradisiers,50,203_007_01,23/05/06,29/05/06,Mounie-Maur,94,81,635,#N/A,5,2006,Pneumatique,3783
1623,1645TR6414,Rue des Papyrus,50,204_011_01,10/12/08,16/12/08,Ravaz-Eucalyptus,216,224,1681,#N/A,12,2008,Pneumatique,6414
1624,1645TR6414,Rue des Papyrus,50,204_011_02,10/12/08,16/12/08,Eucalyptus-Ravaz,170,301,1807,#N/A,12,2008,Pneumatique,6414
1215,1645TR6418,Rue des Papyrus,50,212_006_02,20/03/07,26/03/07,Ravaz-Eucalyptus,184,204,1435,R.A.S,3,2007,Pneumatique,6418
1214,1645TR6418,Rue des Papyrus,50,212_006_01,20/03/07,26/03/07,Eucalyptus-Ravaz,227,356,1390,R.A.S,3,2007,Pneumatique,6418
681,1645TR4388,Rue des Papyrus,50,227_002_01,25/02/04,02/03/04,Eucalyptus-Ravaz,187,165,1593,#N/A,2,2004,Pneumatique,4388
682,1645TR4388,Rue des Papyrus,50,227_002_02,25/02/04,02/03/04,Ravaz-Eucalyptus,135,292,1699,#N/A,2,2004,Pneumatique,4388
474,1645TR4388,Rue des Papyrus,50,PAPY.000.01,21/09/01,27/09/01,Ravaz-Eucalyptus,133,235,1533,#N/A,9,2001,Pneumatique,4388
475,1645TR4388,Rue des Papyrus,50,PAPY.00.02,21/09/01,27/09/01,Eucalyptus-Ravaz,178,162,1467,#N/A,9,2001,Pneumatique,4388
